id	code	name	type	descp	record_time
124	601939	建设银行	1		2015-11-15 19:57:33
125	601933	永辉超市	1		2015-11-15 19:57:33
126	601929	吉视传媒	1		2015-11-15 19:57:33
127	601928	凤凰传媒	1		2015-11-15 19:57:33
128	601919	中国远洋	1		2015-11-15 19:57:33
129	601918	国投新集	1		2015-11-15 19:57:33
130	601908	京运通	1		2015-11-15 19:57:33
131	601901	方正证券	1		2015-11-15 19:57:33
132	601899	紫金矿业	1		2015-11-15 19:57:33
133	601898	中煤能源	1		2015-11-15 19:57:33
134	601890	亚星锚链	1		2015-11-15 19:57:33
135	601888	中国国旅	1		2015-11-15 19:57:33
136	601886	江河创建	1		2015-11-15 19:57:33
137	601880	大连港	1		2015-11-15 19:57:33
138	601877	正泰电器	1		2015-11-15 19:57:33
139	601872	招商轮船	1		2015-11-15 19:57:33
140	601866	中海集运	1		2015-11-15 19:57:33
141	601857	中国石油	1		2015-11-15 19:57:33
142	601818	光大银行	1		2015-11-15 19:57:33
143	601808	中海油服	1		2015-11-15 19:57:33
144	601801	皖新传媒	1		2015-11-15 19:57:33
145	601800	中国交建	1		2015-11-15 19:57:33
146	601799	星宇股份	1		2015-11-15 19:57:33
147	601798	蓝科高新	1		2015-11-15 19:57:33
148	601789	宁波建工	1		2015-11-15 19:57:33
149	601788	光大证券	1		2015-11-15 19:57:33
150	601777	力帆股份	1		2015-11-15 19:57:33
151	601766	中国南车	1		2015-11-15 19:57:33
152	601727	上海电气	1		2015-11-15 19:57:33
153	601718	际华集团	1		2015-11-15 19:57:33
154	601717	郑煤机	1		2015-11-15 19:57:33
155	601700	风范股份	1		2015-11-15 19:57:33
156	601699	潞安环能	1		2015-11-15 19:57:33
157	601688	华泰证券	1		2015-11-15 19:57:33
158	601678	滨化股份	1		2015-11-15 19:57:33
159	601677	明泰铝业	1		2015-11-15 19:57:33
160	601669	中国电建	1		2015-11-15 19:57:33
161	601668	中国建筑	1		2015-11-15 19:57:33
162	601666	平煤股份	1		2015-11-15 19:57:33
163	601636	旗滨集团	1		2015-11-15 19:57:33
164	601633	长城汽车	1		2015-11-15 19:57:33
165	601628	中国人寿	1		2015-11-15 19:57:33
166	601618	中国中冶	1		2015-11-15 19:57:33
167	601616	广电电气	1		2015-11-15 19:57:33
168	601608	中信重工	1		2015-11-15 19:57:33
169	601607	上海医药	1		2015-11-15 19:57:33
170	601601	中国太保	1		2015-11-15 19:57:33
171	601600	中国铝业	1		2015-11-15 19:57:33
172	601599	鹿港科技	1		2015-11-15 19:57:33
173	601588	北辰实业	1		2015-11-15 19:57:33
174	601579	会稽山	1		2015-11-15 19:57:33
175	601567	三星电气	1		2015-11-15 19:57:33
176	601566	九牧王	1		2015-11-15 19:57:33
177	601558	锐电	1		2015-11-15 19:57:33
178	601555	东吴证券	1		2015-11-15 19:57:33
179	601519	大智慧	1		2015-11-15 19:57:33
180	601518	吉林高速	1		2015-11-15 19:57:33
181	601515	东风股份	1		2015-11-15 19:57:33
182	601398	工商银行	1		2015-11-15 19:57:33
183	601390	中国中铁	1		2015-11-15 19:57:33
184	601388	怡球资源	1		2015-11-15 19:57:33
185	601377	兴业证券	1		2015-11-15 19:57:33
186	601369	陕鼓动力	1		2015-11-15 19:57:33
187	601339	百隆东方	1		2015-11-15 19:57:33
188	601336	新华保险	1		2015-11-15 19:57:33
189	601333	广深铁路	1		2015-11-15 19:57:33
190	601328	交通银行	1		2015-11-15 19:57:33
191	601318	中国平安	1		2015-11-15 19:57:33
192	601313	江南嘉捷	1		2015-11-15 19:57:33
193	601311	骆驼股份	1		2015-11-15 19:57:33
195	601288	农业银行	1		2015-11-15 19:57:33
197	601258	庞大集团	1		2015-11-15 19:57:33
198	601238	广汽集团	1		2015-11-15 19:57:33
199	601233	桐昆股份	1		2015-11-15 19:57:33
200	601231	环旭电子	1		2015-11-15 19:57:33
201	601226	华电重工	1		2015-11-15 19:57:33
202	601225	陕西煤业	1		2015-11-15 19:57:33
203	601222	林洋电子	1		2015-11-15 19:57:33
204	601218	吉鑫科技	1		2015-11-15 19:57:33
205	601216	内蒙君正	1		2015-11-15 19:57:33
206	601208	东材科技	1		2015-11-15 19:57:33
207	601199	江南水务	1		2015-11-15 19:57:33
208	601188	龙江交通	1		2015-11-15 19:57:33
209	601186	中国铁建	1		2015-11-15 19:57:33
210	601179	中国西电	1		2015-11-15 19:57:33
211	601177	杭齿前进	1		2015-11-15 19:57:33
212	601169	北京银行	1		2015-11-15 19:57:33
213	601168	西部矿业	1		2015-11-15 19:57:33
214	601166	兴业银行	1		2015-11-15 19:57:33
215	601158	重庆水务	1		2015-11-15 19:57:33
216	601139	深圳燃气	1		2015-11-15 19:57:33
217	601137	博威合金	1		2015-11-15 19:57:33
218	601126	四方股份	1		2015-11-15 19:57:33
219	601118	海南橡胶	1		2015-11-15 19:57:33
220	601117	中国化学	1		2015-11-15 19:57:33
221	601116	三江购物	1		2015-11-15 19:57:33
222	601113	华鼎股份	1		2015-11-15 19:57:33
223	601111	中国国航	1		2015-11-15 19:57:33
224	601107	四川成渝	1		2015-11-15 19:57:33
225	601106	中国一重	1		2015-11-15 19:57:33
226	601101	昊华能源	1		2015-11-15 19:57:33
227	601100	恒立油缸	1		2015-11-15 19:57:33
228	601099	太平洋	1		2015-11-15 19:57:33
229	601098	中南传媒	1		2015-11-15 19:57:33
230	601088	中国神华	1		2015-11-15 19:57:33
231	601069	西部黄金	1		2015-11-15 19:57:33
232	601058	赛轮金宇	1		2015-11-15 19:57:33
233	601038	一拖股份	1		2015-11-15 19:57:33
234	601028	玉龙股份	1		2015-11-15 19:57:33
235	601021	春秋航空	1		2015-11-15 19:57:33
236	601018	宁波港	1		2015-11-15 19:57:33
